Ticket,Parch,SibSp,passenger_sex,passenger_class,Fare,Embarked,Age
433,0,0,0,0,7.75,1,21.0
238,0,0,1,1,11.5,2,18.0
413,0,0,0,0,7.8542,2,14.0
1,1,1,1,2,79.65,2,52.0
60,0,2,0,2,51.4792,2,53.0
534,0,0,1,0,7.7333,1,21.0
588,1,0,1,2,153.4625,2,38.0
388,0,0,1,0,7.8958,2,38.0
117,1,0,0,1,23.0,2,18.0
486,1,0,1,0,12.475,2,6.0
137,0,0,1,1,0.0,2,28.0
630,0,0,1,1,15.0458,0,23.0
616,2,0,0,0,16.7,2,24.0
575,0,1,1,1,24.0,0,30.0
565,0,0,1,1,10.5,2,28.0
561,2,1,1,1,27.75,2,36.0
252,0,3,0,1,21.0,2,30.0
339,0,0,1,0,7.8875,2,26.0
246,0,2,1,0,7.925,2,28.0
548,2,1,1,0,20.575,2,1.0
89,0,1,1,2,57.0,2,31.0
608,0,0,0,2,512.3292,0,35.0
254,0,0,1,0,7.775,2,28.0
659,0,0,1,0,7.925,2,21.0
680,2,0,0,2,71.0,2,36.0
82,0,0,1,2,30.0,2,28.0
558,1,1,1,1,36.75,2,8.0
16,0,0,1,2,0.0,2,40.0
58,0,1,1,2,55.4417,0,25.0
177,0,0,1,0,7.225,0,45.5
80,0,0,1,0,56.4958,2,28.0
320,0,0,1,0,7.775,2,31.0
574,0,0,1,0,0.0,2,25.0
81,0,0,0,2,134.5,0,41.0
0,0,0,0,2,86.5,2,33.0
393,1,0,0,0,13.4167,0,4.0
319,0,0,1,0,7.775,2,33.0
536,0,1,1,0,16.1,2,30.0
511,0,0,1,0,8.3625,2,32.0
429,0,0,1,0,8.05,2,34.0
25,0,0,1,2,47.1,2,28.0
312,0,0,1,0,9.5,2,33.0
347,0,0,1,0,7.65,2,25.0
22,0,0,1,2,27.75,0,30.0
300,0,1,0,0,17.4,2,36.0
488,1,3,0,0,25.4667,2,28.0
480,1,4,1,0,29.125,1,7.0
575,0,1,0,1,24.0,0,28.0
256,0,0,1,0,7.775,2,28.0
592,0,0,1,2,79.2,0,46.0
632,0,1,0,1,13.8583,0,27.0
247,0,3,0,0,15.85,2,33.0
96,0,0,1,2,26.55,2,48.0
618,1,1,1,1,37.0042,0,31.0
294,0,0,1,0,8.05,2,24.5
329,2,4,1,0,31.3875,2,9.0
64,0,1,1,2,91.0792,0,25.0
149,0,0,1,1,13.0,2,25.0
68,0,0,1,2,40.125,0,36.0
379,0,0,1,0,7.8958,0,29.0
363,0,0,1,0,7.8958,2,28.0
561,2,1,0,1,27.75,2,5.0
51,0,1,0,2,53.1,2,33.0
572,0,0,0,1,10.5,2,50.0
588,0,0,0,2,153.4625,2,40.0
268,0,0,1,0,8.6625,2,21.0
127,0,1,1,1,26.0,2,25.0
107,0,0,1,0,8.3,2,18.0
80,0,0,1,0,56.4958,2,26.0
653,0,0,1,0,8.05,2,16.0
102,0,0,1,0,8.05,2,51.0
524,0,0,1,0,7.25,2,22.0
615,0,0,1,0,9.35,2,22.0
12,0,0,1,2,0.0,2,39.0
478,0,0,0,0,7.75,1,28.0
391,0,0,1,0,7.8958,0,28.0
551,1,1,0,0,20.25,2,35.0
14,0,0,0,2,30.0,2,19.0
376,0,0,0,0,8.85,2,24.0
92,0,2,1,2,90.0,1,44.0
11,0,0,1,2,26.55,2,45.0
287,0,0,1,0,7.75,1,31.0
360,0,0,1,0,7.8958,2,28.0
327,0,0,1,0,7.775,2,16.0
667,0,1,0,0,7.925,2,25.0
655,0,0,1,0,7.925,2,44.0
316,1,0,0,0,10.4625,2,2.0
519,0,0,1,0,24.15,2,39.0
651,0,0,1,0,8.05,2,28.0
264,0,0,1,0,8.6625,2,17.0
621,0,2,1,1,73.5,2,24.0
138,0,0,1,1,0.0,2,28.0
663,0,0,1,0,7.925,2,39.0
144,0,1,1,1,26.0,2,54.0
263,0,0,1,0,8.6625,2,38.0
330,0,0,1,0,7.75,2,18.0
278,0,0,0,0,8.0292,1,15.0
674,0,0,1,1,10.5,2,29.0
202,0,0,1,0,7.2292,0,28.0
323,0,0,1,0,7.775,2,26.0
232,0,0,1,1,14.0,2,54.0
194,1,2,0,0,19.2583,0,0.75
35,0,1,1,2,53.1,2,19.0
176,0,0,0,0,14.4583,0,17.0
568,2,8,1,0,69.55,2,28.0
527,0,0,1,0,8.05,2,28.0
625,0,0,0,1,12.0,0,17.0
78,0,0,0,0,7.75,1,28.0
121,0,0,1,1,13.0,2,48.0
675,2,1,0,0,23.45,2,28.0
568,2,8,0,0,69.55,2,28.0
480,1,4,1,0,29.125,1,2.0
184,0,0,0,0,7.225,0,28.0
550,0,0,1,1,10.5,2,70.0
593,0,0,0,2,28.7125,0,50.0
216,0,0,1,0,18.7875,0,11.0
453,2,0,0,2,164.8667,2,31.0
661,0,0,1,0,7.925,2,32.0
249,1,4,1,0,39.6875,2,7.0
72,0,1,0,2,55.9,2,39.0
483,0,1,0,0,16.1,2,28.0
507,0,1,0,0,9.475,2,40.0
249,1,4,1,0,39.6875,2,2.0
304,0,0,1,0,9.0,2,22.0
329,2,4,0,0,31.3875,2,5.0
106,2,1,0,1,65.0,2,24.0
495,0,0,1,0,16.1,2,21.0
649,0,0,1,0,7.25,2,21.0
43,0,1,1,2,52.0,2,42.0
466,0,0,1,0,7.75,1,32.0
62,0,0,1,2,29.7,0,28.0
644,0,0,1,0,8.05,2,32.0
251,1,0,0,0,12.2875,2,2.0
370,0,0,1,0,7.8958,2,28.0
31,0,0,1,2,26.55,2,62.0
367,0,0,1,0,7.8958,2,28.0
266,0,0,1,0,8.6625,2,20.0
594,1,0,1,2,29.7,0,37.0
543,0,0,1,0,6.45,2,43.0
297,0,0,1,0,8.05,2,24.0
93,0,1,1,2,90.0,2,38.0
242,0,0,1,0,6.4958,2,34.0
172,0,0,1,0,7.225,0,40.0
648,0,0,1,0,8.05,2,28.0
573,0,0,1,0,7.3125,2,28.0
183,0,0,1,0,4.0125,0,20.0
106,2,1,0,1,65.0,2,48.0
7,1,0,0,2,57.9792,0,16.0
95,2,3,0,2,263.0,2,23.0
83,1,1,1,2,110.8833,0,49.0
562,1,1,1,0,15.9,2,9.0
95,2,3,1,2,263.0,2,19.0
459,0,1,0,0,15.5,1,28.0
178,0,0,1,0,7.2292,0,28.0
18,0,0,1,2,39.6,0,28.0
135,0,0,1,1,0.0,2,28.0
498,0,1,1,0,19.9667,2,28.0
237,3,2,0,1,18.75,2,24.0
37,2,1,0,2,151.55,2,25.0
271,2,0,0,0,22.025,2,4.0
604,0,0,0,2,27.7208,0,44.0
628,0,0,0,1,13.7917,0,23.0
305,0,0,1,0,9.5,2,20.0
187,1,1,1,0,15.7417,0,20.0
601,0,0,1,2,27.7208,0,28.0
237,1,1,1,1,18.75,2,3.0
116,0,0,0,1,13.0,2,28.0
614,0,0,0,2,106.425,0,30.0
643,0,0,1,0,7.05,2,25.0
610,0,1,0,2,227.525,0,18.0
468,0,0,1,0,7.75,1,28.0
634,2,1,0,1,41.5792,0,22.0
132,0,1,1,1,30.0708,0,32.5
662,0,0,1,0,7.925,2,31.0
152,0,0,1,1,13.0,2,34.0
357,0,0,1,0,7.4958,2,36.0
65,0,0,1,1,13.0,2,34.0
0,0,0,0,2,86.5,2,30.0
135,0,0,1,1,0.0,2,28.0
646,0,0,1,0,7.125,2,41.0
155,0,0,0,1,33.0,2,28.0
237,1,1,1,1,18.75,2,0.83
53,0,1,0,1,21.0,2,27.0
428,0,0,1,0,7.25,2,59.0
51,0,1,1,2,53.1,2,27.0
444,0,1,0,0,15.5,1,28.0
487,0,0,1,0,6.8583,1,28.0
476,0,1,1,0,16.1,2,28.0
467,0,0,1,0,7.75,1,28.0
631,0,0,1,1,13.8625,0,28.0
368,0,0,1,0,7.8958,2,28.0
123,0,0,1,1,13.0,2,25.0
567,0,0,0,0,7.55,2,23.0
619,0,0,1,1,10.5,2,16.0
194,3,0,0,0,19.2583,0,24.0
523,0,1,1,0,7.25,2,22.0
218,0,0,1,2,30.0,2,80.0
548,2,1,1,0,20.575,2,26.0
270,0,2,1,0,8.6625,2,26.0
554,0,0,1,1,10.5,2,24.0
440,0,0,1,0,15.5,1,28.0
345,0,0,1,0,7.0542,2,51.0
392,0,0,1,0,7.8958,0,28.0
409,0,0,1,0,7.8542,2,20.0
225,0,0,1,1,13.0,2,30.0
33,2,1,0,2,120.0,2,36.0
479,0,0,1,0,7.75,1,29.0
329,2,4,1,0,31.3875,2,3.0
142,1,2,0,1,27.0,2,24.0
245,0,2,1,0,7.925,2,37.0
395,1,3,0,0,21.075,2,8.0
95,2,3,0,2,263.0,2,24.0
579,0,0,1,2,26.2875,2,35.0
109,0,0,0,1,12.35,1,28.0
559,0,0,0,1,15.75,2,40.0
198,0,1,1,1,26.0,2,44.0
243,0,0,0,0,7.4958,2,18.0
596,0,1,0,2,71.2833,0,38.0
120,0,0,1,1,13.0,2,24.0
352,0,0,1,0,7.8958,2,19.0
407,0,0,1,0,7.8542,2,48.0
1,1,1,0,2,79.65,2,39.0
556,1,1,1,1,26.25,2,31.0
249,5,0,0,0,39.6875,2,41.0
37,2,1,0,2,151.55,2,2.0
679,0,0,1,1,10.5,2,30.0
670,0,0,0,0,7.925,2,27.0
262,0,0,1,0,8.6625,2,42.0
571,1,1,1,1,26.25,2,43.0
542,0,0,1,0,22.525,2,28.0
678,0,1,1,2,61.175,2,46.0
568,2,8,0,0,69.55,2,28.0
532,0,0,1,0,7.25,2,47.0
555,0,0,0,1,10.5,2,21.0
423,1,1,0,0,20.525,2,31.0
560,0,0,0,1,10.5,2,34.0
589,0,0,0,2,79.2,0,28.0
85,0,0,1,2,51.8625,2,54.0
519,0,2,1,0,24.15,2,24.0
207,0,0,1,0,7.2292,0,28.0
76,0,0,0,0,7.75,1,28.0
317,0,0,1,0,7.775,2,74.0
617,0,0,1,0,8.05,2,28.0
502,0,0,1,2,5.0,2,33.0
318,0,0,1,0,6.975,2,45.0
134,0,0,1,1,13.0,2,42.0
416,0,1,0,2,113.275,0,23.0
200,0,0,1,0,7.225,0,25.0
247,0,1,1,0,15.85,2,32.0
119,0,0,1,1,13.0,2,23.0
54,1,1,0,2,52.5542,2,47.0
587,0,1,0,2,76.7292,0,49.0
301,0,1,0,0,18.0,2,31.0
605,0,1,0,2,133.65,2,28.0
381,0,0,1,0,7.8958,2,32.0
48,0,0,1,2,26.55,2,60.0
552,0,0,1,1,13.0,2,25.0
494,1,0,1,0,8.4042,2,42.0
394,0,0,1,0,7.8958,2,33.0
462,0,1,1,0,15.5,1,28.0
30,0,0,1,2,35.0,2,28.0
129,0,0,1,1,15.0,2,47.0
190,0,2,1,0,21.6792,0,28.0
140,0,0,0,1,12.65,2,28.0
166,1,1,1,1,14.5,2,0.67
217,0,0,1,0,7.2292,0,28.0
399,0,2,1,0,14.1083,2,41.0
234,1,1,0,1,23.0,2,4.0
465,0,0,0,0,7.75,1,28.0
571,1,1,0,1,26.25,2,45.0
341,0,0,1,0,7.8542,2,20.0
15,0,0,1,2,0.0,2,28.0
472,0,0,1,0,8.05,2,35.0
233,0,1,1,1,26.0,2,32.0
295,0,0,0,0,8.05,2,28.0
366,0,0,1,0,7.8958,2,28.0
26,0,0,1,2,30.0,2,29.0
333,5,1,1,0,31.275,2,39.0
74,1,1,1,2,79.2,0,60.0
337,2,3,0,0,27.9,2,9.0
558,1,1,1,1,36.75,2,19.0
196,1,1,0,0,22.3583,0,28.0
279,0,0,0,0,7.8792,1,28.0
568,2,8,1,0,69.55,2,28.0
405,0,0,1,0,7.7958,2,27.0
80,0,0,1,0,56.4958,2,32.0
239,0,1,0,1,26.0,2,29.0
220,0,0,0,1,13.0,2,36.0
293,0,0,0,1,10.5,2,27.0
215,0,0,1,0,7.2292,0,28.5
640,0,0,1,0,7.05,2,20.0
424,0,0,1,0,8.05,2,34.0
95,4,1,1,2,263.0,2,64.0
185,2,0,0,0,15.2458,0,29.0
61,0,0,1,2,29.7,0,58.0
566,2,5,0,0,46.9,2,16.0
117,1,0,0,1,23.0,2,34.0
273,0,0,1,0,8.05,2,19.0
504,0,0,1,0,9.2167,2,16.0
147,0,0,1,1,13.0,2,42.0
28,1,0,0,2,55.0,2,28.0
343,0,0,0,0,7.8542,2,26.0
618,2,0,1,1,37.0042,0,1.0
142,0,1,1,1,27.0,2,42.0
67,0,0,0,2,93.5,2,30.0
415,0,0,1,0,7.8542,2,32.0
404,0,0,1,0,7.7958,2,28.0
444,0,1,0,0,15.5,1,28.0
420,0,0,1,0,14.5,2,19.0
344,1,1,1,0,11.1333,2,4.0
194,1,2,0,0,19.2583,0,0.75
439,0,0,0,0,6.75,1,18.0
141,0,0,0,2,211.3375,2,29.0
122,0,0,0,1,13.0,2,32.0
181,0,0,1,0,7.2292,0,28.0
114,1,2,1,1,39.0,2,1.0
128,0,0,1,1,13.5,2,59.0
306,0,0,1,0,9.5,2,28.0
216,0,0,1,0,18.7875,0,26.0
459,0,1,1,0,15.5,1,28.0
148,0,0,1,1,26.0,2,27.0
564,0,0,1,0,15.1,2,28.0
613,0,0,0,2,135.6333,0,36.0
265,0,0,1,0,8.6625,2,17.0
5,0,0,1,2,33.5,2,61.0
397,0,0,1,0,7.775,2,18.0
59,0,0,0,2,83.1583,0,24.0
520,0,0,1,0,8.05,2,16.0
434,2,0,0,0,7.75,1,28.0
431,0,0,1,0,8.05,2,35.0
113,1,1,1,1,26.0,2,3.0
156,0,0,1,1,13.5,2,52.0
423,1,1,1,0,20.525,2,33.0
151,0,0,1,1,13.0,2,28.0
568,2,8,1,0,69.55,2,28.0
59,1,0,0,2,83.1583,0,56.0
